Segment_number,Average Degree (Global),Global Efficiency,Average Shortest Path Length,Clustering Coefficient,Modularity
1,5.473684210526316,0.7987804878048781,10.596491228070176,0.5792663476874003,0.1549827784768268
2,7.894736842105263,0.739294403892944,5.12280701754386,0.715458225984542,0.1056191548491684
3,6.0,0.5911764705882353,4.169590643274854,0.749081035923141,0.3065730469643669
4,4.0,0.6985596707818927,10.83625730994152,0.5092731829573933,0.3114619848268993
5,5.052631578947368,0.6516666666666666,7.017543859649122,0.5315447710184552,0.1583814012851437
6,6.842105263157895,0.6125730994152049,2.192982456140351,0.5637692716640085,0.107171429315855
7,4.421052631578948,0.7378048780487804,10.65497076023392,0.5290726817042607,0.2759564466966377
8,4.631578947368421,0.6583333333333333,8.409356725146198,0.4450292397660819,0.1431399576480602
9,6.526315789473684,0.6485838779956431,3.754385964912281,0.6669894433052328,0.1191535583687095
10,5.684210526315789,0.7801418439716311,9.362573099415204,0.5814460393407762,0.1862490454185949
11,4.105263157894737,0.5791666666666664,7.292397660818714,0.4583124477861319,0.2763737069894887
12,6.0,0.7271604938271603,8.08187134502924,0.5481658692185007,0.1162366659472768
13,7.263157894736842,0.6642300194931781,1.8362573099415205,0.7048793311951206,0.1493652098679602
14,6.526315789473684,0.8703703703703703,10.619883040935672,0.71943115364168,0.0853600848015997
15,9.68421052631579,0.7465886939571158,1.6023391812865495,0.8032558085189665,0.1210223199164308
16,6.421052631578948,0.7452830188679245,8.292397660818713,0.5719298245614035,0.0857775839537607
Average,6.032894736842104,0.7031071247301016,6.865131578947368,0.6048065421420685,0.1689265234579237
