Segment_number,Average Degree (Global),Global Efficiency,Average Shortest Path Length,Clustering Coefficient,Modularity
1,2.210526315789474,0.7286821705426358,14.625730994152049,0.4771929824561403,0.4924724863917302
2,2.3157894736842106,0.4598072562358276,9.251461988304094,0.3017543859649123,0.4329882672856367
3,2.0,0.782258064516129,15.83625730994152,0.3719298245614035,0.5017183883146391
4,2.3157894736842106,0.7209302325581397,14.65497076023392,0.4035087719298246,0.4249768565091956
5,2.210526315789474,0.7606837606837608,15.011695906432749,0.4192982456140351,0.514133002787078
6,2.1052631578947367,0.6884920634920637,14.789473684210526,0.3157894736842105,0.6178203176586728
7,2.631578947368421,0.4271650326797386,6.6608187134502925,0.2842105263157894,0.4132384327007319
8,2.0,0.782258064516129,15.83625730994152,0.3719298245614035,0.4923757294053668
9,1.4736842105263157,0.7971014492753624,16.637426900584796,0.2807017543859649,0.5824051994979786
10,2.3157894736842106,0.8235294117647058,15.491228070175438,0.4696741854636592,0.3004904151997187
11,2.0,0.668604651162791,14.701754385964913,0.3385964912280701,0.5273070317261035
12,2.631578947368421,0.6783625730994153,13.274853801169591,0.3789473684210526,0.5110607343476132
Average,2.18421052631579,0.6931562275438915,13.897660818713453,0.36779448621553884,0.4842489051520387
