Segment_number,Average Degree (Global),Global Efficiency,Average Shortest Path Length,Clustering Coefficient,Modularity
1,2.8421052631578947,0.5617857142857142,11.304093567251462,0.4280701754385965,0.4495596778091377
2,3.1578947368421053,0.5336088154269967,7.239766081871345,0.4739348370927317,0.457962267609262
3,4.7368421052631575,0.5563352826510722,2.2748538011695905,0.5231829573934837,0.3196471103072055
4,3.684210526315789,0.6307017543859644,9.538011695906432,0.4837092731829573,0.4180900453162204
5,5.052631578947368,0.5864522417154,2.0701754385964914,0.5743943191311612,0.3350440887845753
6,4.105263157894737,0.5018657755499862,2.701754385964912,0.4828320802005013,0.3638946658233778
7,5.789473684210527,0.6043859649122808,2.064327485380117,0.6521834890255943,0.2479644510351867
8,4.631578947368421,0.5358674463937624,2.3976608187134505,0.4939849624060149,0.2885994645755169
9,4.421052631578948,0.596958637469586,5.432748538011696,0.5394736842105263,0.357591413419982
10,5.684210526315789,0.605750487329435,2.0116959064327484,0.6201754385964912,0.3272331331385254
11,4.7368421052631575,0.5362573099415205,2.432748538011696,0.5775271512113618,0.3550883625142255
12,4.0,0.4957671957671959,2.7485380116959064,0.4182957393483709,0.3233805751024227
13,4.2105263157894735,0.6280991735537185,6.900584795321637,0.5234753550543024,0.2910488608959423
14,2.631578947368421,0.502605570530099,8.923976608187134,0.4403508771929825,0.5108603183392546
15,3.789473684210526,0.5411764705882349,5.777777777777778,0.5684210526315789,0.3778962268629312
16,3.473684210526316,0.5922807017543859,9.742690058479532,0.4030075187969924,0.382389636522929
17,4.2105263157894735,0.6702508960573473,9.690058479532164,0.4959482038429407,0.2503543956205187
18,2.736842105263158,0.447462634688912,6.280701754385965,0.3508771929824562,0.5038127106436046
19,4.842105263157895,0.6551490514905145,6.649122807017544,0.5671641224272803,0.2532226187944696
Average,4.14404432132964,0.5675137433943225,5.588488765774085,0.5061583384298065,0.35861263279554145
